test_index,k,label_ranking_average_precision,hit_at_k,mrr
0,1,0.13012477718360071,1,1.0
0,2,0.08467023172905525,1,1.0
0,3,0.06951871657754011,1,1.0
0,5,0.057397504456327984,1,1.0
0,10,0.0483065953654189,1,0.2
1,1,0.14159663865546218,1,1.0
1,2,0.17338935574229689,1,1.0
1,3,0.14957983193277308,1,1.0
1,5,0.20840336134453777,1,1.0
1,10,0.3070028011204481,1,1.0
2,1,0.1213235294117647,1,1.0
2,2,0.0900735294117647,1,1.0
2,3,0.07965686274509803,1,1.0
2,5,0.10490196078431373,1,1.0
2,10,0.14705882352941177,1,0.3333333333333333
3,1,0.15245098039215685,1,1.0
3,2,0.08995098039215686,1,1.0
3,3,0.06911764705882353,1,1.0
3,5,0.052450980392156864,1,0.5
3,10,0.07352941176470588,1,0.2
4,1,0.047058823529411764,0,0.5
4,2,0.047058823529411764,0,0.3333333333333333
4,3,0.07091503267973857,1,0.3333333333333333
4,5,0.05980392156862746,1,0.2
4,10,0.07254901960784314,1,0.5
5,1,0.14248366013071898,1,1.0
5,2,0.0869281045751634,1,1.0
5,3,0.06840958605664488,1,1.0
5,5,0.11633986928104575,1,0.5
5,10,0.07189542483660132,1,0.2
6,1,0.14248366013071898,1,1.0
6,2,0.2496732026143791,1,1.0
6,3,0.3568627450980392,1,1.0
6,5,0.22352941176470587,1,1.0
6,10,0.2934640522875817,1,0.3333333333333333
7,1,0.047058823529411764,0,0.1
7,2,0.047058823529411764,0,0.1
7,3,0.07091503267973857,1,0.3333333333333333
7,5,0.05980392156862746,1,0.2
7,10,0.05147058823529412,1,0.1111111111111111
8,1,0.12321981424148609,1,1.0
8,2,0.17192982456140352,1,1.0
8,3,0.2206398348813209,1,1.0
8,5,0.3180598555211558,1,1.0
8,10,0.304953560371517,1,0.5
9,1,0.13529411764705884,1,1.0
9,2,0.08529411764705883,1,1.0
9,3,0.06862745098039216,1,0.5
9,5,0.05529411764705881,1,0.3333333333333333
9,10,0.04529411764705882,1,0.25
10,1,0.12647058823529414,1,1.0
10,2,0.08480392156862747,1,1.0
10,3,0.07091503267973857,1,0.5
10,5,0.05980392156862746,1,0.3333333333333333
10,10,0.05147058823529412,1,0.16666666666666666
11,1,0.12450980392156867,1,1.0
11,2,0.17058823529411768,1,1.0
11,3,0.13725490196078433,1,0.5
11,5,0.2227450980392157,1,0.5
11,10,0.3670588235294117,1,0.5
12,1,0.04313725490196079,0,0.07142857142857142
12,2,0.08467023172905525,1,1.0
12,3,0.15650623885918002,1,1.0
12,5,0.19500891265597148,1,1.0
12,10,0.25080213903743315,1,1.0
13,1,0.1239819004524887,1,1.0
13,2,0.08552036199095024,1,0.5
13,3,0.14570135746606336,1,1.0
13,5,0.17767722473604827,1,1.0
13,10,0.2236802413273002,1,1.0
14,1,0.12321981424148609,1,1.0
14,2,0.17192982456140352,1,1.0
14,3,0.2206398348813209,1,1.0
14,5,0.3180598555211558,1,1.0
14,10,0.37997936016511863,1,1.0
15,1,0.1213235294117647,1,1.0
15,2,0.17990196078431372,1,1.0
15,3,0.13823529411764707,1,1.0
15,5,0.24705882352941178,1,1.0
15,10,0.2642156862745098,1,1.0
16,1,0.023529411764705882,0,0.3333333333333333
16,2,0.10294117647058824,1,1.0
16,3,0.07516339869281047,1,0.5
16,5,0.14901960784313728,1,0.5
16,10,0.08235294117647059,1,0.5
17,1,0.12321981424148609,1,1.0
17,2,0.17192982456140352,1,1.0
17,3,0.2206398348813209,1,1.0
17,5,0.2272445820433436,1,0.5
17,10,0.304953560371517,1,0.5
18,1,0.2156862745098039,1,1.0
18,2,0.11568627450980391,1,1.0
18,3,0.08235294117647059,1,1.0
18,5,0.05568627450980392,1,0.5
18,10,0.035686274509803925,1,0.2
19,1,0.03137254901960784,0,0.05263157894736842
19,2,0.03137254901960784,0,0.05263157894736842
19,3,0.03137254901960784,0,0.05263157894736842
19,5,0.03137254901960784,0,0.05263157894736842
19,10,0.03137254901960784,0,0.05
20,1,0.03137254901960784,0,0.022222222222222223
20,2,0.03137254901960784,0,0.022222222222222223
20,3,0.03137254901960784,0,0.022222222222222223
20,5,0.052450980392156864,1,0.2
20,10,0.1321078431372549,1,0.5
21,1,0.039215686274509796,0,0.058823529411764705
21,2,0.039215686274509796,0,0.058823529411764705
21,3,0.039215686274509796,0,0.058823529411764705
21,5,0.039215686274509796,0,0.058823529411764705
21,10,0.04529411764705882,1,1.0
22,1,0.047058823529411764,0,0.058823529411764705
22,2,0.08480392156862747,1,1.0
22,3,0.07091503267973857,1,0.5
22,5,0.10588235294117648,1,0.5
22,10,0.11029411764705883,1,1.0
23,1,0.12398190045248869,1,1.0
23,2,0.19698340874811465,1,1.0
23,3,0.26998491704374056,1,1.0
23,5,0.4159879336349924,1,1.0
23,10,0.30437405731523376,1,1.0
24,1,0.1215686274509804,1,1.0
24,2,0.17647058823529413,1,1.0
24,3,0.13725490196078433,1,1.0
24,5,0.1607843137254902,1,0.5
24,10,0.2549019607843137,1,0.5
25,1,0.13529411764705884,1,1.0
25,2,0.08529411764705883,1,0.5
25,3,0.16470588235294117,1,0.5
25,5,0.11137254901960784,1,0.25
25,10,0.07137254901960784,1,0.2
26,1,0.0196078431372549,0,0.01282051282051282
26,2,0.11568627450980391,1,1.0
26,3,0.08235294117647059,1,0.5
26,5,0.05568627450980392,1,0.3333333333333333
26,10,0.035686274509803925,1,0.16666666666666666
27,1,0.12647058823529414,1,1.0
27,2,0.20588235294117643,1,1.0
27,3,0.28529411764705875,1,1.0
27,5,0.1852941176470588,1,0.5
27,10,0.16470588235294117,1,0.5
28,1,0.03529411764705882,0,0.2
28,2,0.03529411764705882,0,0.2
28,3,0.06840958605664488,1,0.3333333333333333
28,5,0.05359477124183007,1,0.25
28,10,0.07189542483660132,1,0.3333333333333333
29,1,0.21568627450980388,1,1.0
29,2,0.11568627450980395,1,0.5
29,3,0.08235294117647057,1,0.5
29,5,0.055686274509803915,1,0.25
29,10,0.09176470588235294,1,0.14285714285714285
30,1,0.0196078431372549,0,0.07142857142857142
30,2,0.0196078431372549,0,0.07142857142857142
30,3,0.0196078431372549,0,0.03333333333333333
30,5,0.05568627450980392,1,1.0
30,10,0.09176470588235294,1,1.0
31,1,0.0196078431372549,0,0.01282051282051282
31,2,0.11568627450980393,1,0.5
31,3,0.08235294117647059,1,0.5
31,5,0.17176470588235296,1,0.3333333333333333
31,10,0.09176470588235294,1,0.16666666666666666
32,1,0.023529411764705882,0,0.07142857142857142
32,2,0.023529411764705882,0,0.07142857142857142
32,3,0.023529411764705882,0,0.07142857142857142
32,5,0.05294117647058825,1,0.3333333333333333
32,10,0.03627450980392157,1,0.2
33,1,0.047058823529411764,0,0.058823529411764705
33,2,0.047058823529411764,0,0.058823529411764705
33,3,0.047058823529411764,0,0.058823529411764705
33,5,0.05980392156862744,1,1.0
33,10,0.07254901960784314,1,0.5
34,1,0.1862745098039215,1,1.0
34,2,0.3490196078431372,1,1.0
34,3,0.5117647058823529,1,1.0
34,5,0.31176470588235294,1,0.5
34,10,0.42058823529411765,1,0.5
35,1,0.03137254901960784,0,0.07692307692307693
35,2,0.03137254901960784,0,0.07692307692307693
35,3,0.03137254901960784,0,0.07692307692307693
35,5,0.03137254901960784,0,0.07692307692307693
35,10,0.03995098039215686,1,0.3333333333333333
36,1,0.1239819004524887,1,1.0
36,2,0.08552036199095024,1,0.5
36,3,0.14570135746606336,1,0.5
36,5,0.10467571644042234,1,0.25
36,10,0.10844645550527904,1,0.16666666666666666
37,1,0.12450980392156866,1,1.0
37,2,0.17058823529411765,1,1.0
37,3,0.2166666666666667,1,1.0
37,5,0.2227450980392157,1,1.0
37,10,0.44813725490196077,1,1.0
38,1,0.12450980392156867,1,1.0
38,2,0.17058823529411768,1,1.0
38,3,0.13725490196078433,1,1.0
38,5,0.22274509803921566,1,1.0
38,10,0.29598039215686267,1,0.5
39,1,0.12780748663101604,1,1.0
39,2,0.16934046345811055,1,1.0
39,3,0.21087344028520497,1,1.0
39,5,0.21604278074866307,1,1.0
39,10,0.34581105169340454,1,1.0
40,1,0.047058823529411764,0,0.07142857142857142
40,2,0.08480392156862747,1,0.5
40,3,0.07091503267973857,1,0.5
40,5,0.1058823529411765,1,0.25
40,10,0.16470588235294123,1,1.0
41,1,0.0196078431372549,0,0.05555555555555555
41,2,0.0196078431372549,0,0.05555555555555555
41,3,0.0196078431372549,0,0.05555555555555555
41,5,0.0196078431372549,0,0.05555555555555555
41,10,0.0196078431372549,0,0.05555555555555555
42,1,0.011764705882352941,0,0.07142857142857142
42,2,0.011764705882352941,0,0.07142857142857142
42,3,0.011764705882352941,0,0.03333333333333333
42,5,0.07450980392156863,1,1.0
42,10,0.041176470588235294,1,1.0
43,1,0.12780748663101604,1,1.0
43,2,0.16934046345811055,1,1.0
43,3,0.13903743315508021,1,1.0
43,5,0.15632798573975049,1,1.0
43,10,0.34581105169340454,1,1.0
44,1,0.039215686274509796,0,0.02564102564102564
44,2,0.039215686274509796,0,0.02564102564102564
44,3,0.039215686274509796,0,0.02564102564102564
44,5,0.05529411764705881,1,0.3333333333333333
44,10,0.07137254901960785,1,0.16666666666666666
45,1,0.03137254901960784,0,0.01282051282051282
45,2,0.08995098039215686,1,0.5
45,3,0.06911764705882353,1,0.5
45,5,0.052450980392156864,1,0.5
45,10,0.1321078431372549,1,0.5
46,1,0.03137254901960784,0,0.07142857142857142
46,2,0.03137254901960784,0,0.03333333333333333
46,3,0.03137254901960784,0,0.03333333333333333
46,5,0.03137254901960784,0,0.03333333333333333
46,10,0.03995098039215686,1,1.0
47,1,0.047058823529411764,0,0.07142857142857142
47,2,0.047058823529411764,0,0.07142857142857142
47,3,0.047058823529411764,0,0.07142857142857142
47,5,0.047058823529411764,0,0.03333333333333333
47,10,0.047058823529411764,0,0.058823529411764705
48,1,0.00784313725490196,0,0.09090909090909091
48,2,0.00784313725490196,0,0.09090909090909091
48,3,0.00784313725490196,0,0.09090909090909091
48,5,0.00784313725490196,0,0.09090909090909091
48,10,0.00784313725490196,0,0.058823529411764705
49,1,0.13529411764705884,1,1.0
49,2,0.08529411764705883,1,0.5
49,3,0.16470588235294117,1,1.0
49,5,0.11137254901960784,1,1.0
49,10,0.11745098039215687,1,1.0
50,1,0.15245098039215685,1,1.0
50,2,0.27352941176470585,1,1.0
50,3,0.39460784313725483,1,1.0
50,5,0.2446078431372549,1,1.0
50,10,0.21568627450980393,1,0.5
51,1,0.07450980392156863,0,0.07142857142857142
51,2,0.09690402476780186,1,1.0
51,3,0.08813209494324045,1,1.0
51,5,0.15748194014447886,1,1.0
51,10,0.1430340557275542,1,1.0
52,1,0.12780748663101604,1,1.0
52,2,0.16934046345811055,1,1.0
52,3,0.13903743315508021,1,1.0
52,5,0.11479500891265598,1,1.0
52,10,0.11541889483065955,1,0.25
53,1,0.04313725490196079,0,0.041666666666666664
53,2,0.04313725490196079,0,0.041666666666666664
53,3,0.04313725490196079,0,0.041666666666666664
53,5,0.04313725490196079,0,0.041666666666666664
53,10,0.07165775401069518,1,0.25
54,1,0.023529411764705882,0,0.015151515151515152
54,2,0.10294117647058824,1,0.5
54,3,0.07516339869281045,1,0.5
54,5,0.052941176470588235,1,0.25
54,10,0.08235294117647059,1,0.25
55,1,0.09411764705882353,0,0.2
55,2,0.09411764705882353,0,0.2
55,3,0.09411764705882353,0,0.2
55,5,0.11960784313725491,1,1.0
55,10,0.1450980392156863,1,1.0
56,1,0.047058823529411764,0,0.07142857142857142
56,2,0.047058823529411764,0,0.07142857142857142
56,3,0.07091503267973855,1,1.0
56,5,0.05980392156862744,1,1.0
56,10,0.05147058823529411,1,1.0
57,1,0.13411764705882354,1,1.0
57,2,0.17019607843137255,1,1.0
57,3,0.14352941176470588,1,1.0
57,5,0.21035294117647058,1,1.0
57,10,0.32266666666666666,1,1.0
58,1,0.03529411764705882,0,0.1111111111111111
58,2,0.03529411764705882,0,0.1111111111111111
58,3,0.03529411764705882,0,0.1111111111111111
58,5,0.03529411764705882,0,0.1111111111111111
58,10,0.04248366013071895,1,0.14285714285714285
59,1,0.1215686274509804,1,1.0
59,2,0.18431372549019606,1,1.0
59,3,0.24705882352941172,1,1.0
59,5,0.25647058823529406,1,1.0
59,10,0.2752941176470588,1,1.0
60,1,0.047058823529411764,0,0.058823529411764705
60,2,0.047058823529411764,0,0.058823529411764705
60,3,0.07091503267973857,1,0.5
60,5,0.05980392156862746,1,0.2
60,10,0.07254901960784316,1,0.25
61,1,0.0196078431372549,0,0.2
61,2,0.11568627450980395,1,0.5
61,3,0.08235294117647057,1,0.5
61,5,0.055686274509803915,1,0.25
61,10,0.03568627450980392,1,0.1111111111111111
